"STASLIST","LOC","STA","STA2","STATION","NAME","LHOLD","HOLDCERT","NEARTOWN","COUNTY","STATE","REGION","LATITUDE","LONGITUDE","PRECISION","SOURCE","DATUM","DECLAT","DECLNG","NAD83","ELEV","STRATUM","BCR","HABITAT","D89","D90","D91","D92","D93","D94","D95","D96","D97","D98","D99","D00","D01","D02","D03","D04","D05","D06","Y07","D07","Y08","D08","Y09","D09","Y10","D10","Y11","D11","Y12","D12","Y13","D13","Y14","D14","Y15","D15","Y16","D16","Y17","D17","Y18","D18","HISTORY","YRSOP"
"16635 - KNOX - SARI - Salt River","KNOX",16635,"16635U","SARI","Salt River","DA","+","Bardstown Junction","Bullitt","KY","6","37 56 30","-085 46 15","01S","GPS -GPSMAP 76","NAD83",37.94167,-85.77083,"x",140,14,24,"disturbed mature upland forest",,,,,,"X","X","X","X","X","X","X","X","X",,"X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"94-02,04-08",14
"16636 - KNOX - DULA - Duck Lake","KNOX",16636,"16636U","DULA","Duck Lake","DA","+","Shepherdsville","Bullitt","KY","6","37 58 00","-085 46 46","01S","-","-",37.96667,-85.77944,"-",131,14,24,"upland deciduous forest/oldfield",,,,,,"X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94-02",9
"16637 - KNOX - LDLA - Lower Douglas Lake","KNOX",16637,"16637U","LDLA","Lower Douglas Lake","DA","+","Radcliff","Hardin","KY","6","37 49 33","-085 52 34","01S","-","-",37.82583,-85.87611,"-",221,14,24,"upland deciduous forest",,,,,,"X","X","X","X","X","X","X","X","X",,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,"94-02,04",10
"16638 - NHW- - ONHW - Nags Head Woods","NHW-",16638,"16638U","ONHW","Nags Head Woods","P",,"Kill Devil Hills","Dare","NC","6","35 59 10","-075 39 40","10S","-","-",35.98611,-75.66111,"-",12,3,27,"deciduous maritime forest/ponds",,,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94-98",5
"16639 - WSSP - WSSP - Wekiwa Springs","WSSP",16639,"16639U","WSSP","Wekiwa Springs","S","+","Apopka","Orange","FL","6","28 43 10","-081 28 30","10S","-","-",28.71944,-81.475,"-",12,2,31,"sandpine scrub/oak hammock",,,,,,"X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94-00",7
"16640 - PCSF - TRFA - Tree Farm","PCSF",16640,"16640U","TRFA","Tree Farm","P",,"Signal Mountain","Marion","TN","6","35 05 20","-085 26 00","10S","-","-",35.08889,-85.43333,"-",549,21,28,"mixed hardwood/pine nursery",,,,,,"X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94-00",7
"16641 - BLSF - BLSF - Bladen Lakes","BLSF",16641,"16641U","BLSF","Bladen Lakes","S",,"White Lake","Bladen","NC","6","34 45 00","-078 25 00","BLK","-","-",34.75,-78.41667,"-",18,3,27,"evergreen shrub/carolina bay",,,,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94",1
"16642 - NEWA - UDWN - Delaware Woods North","NEWA",16642,"16642S","UDWN","Delaware Woods North","S","+","Newark","New Castle","DE","6","39 39 47","-075 44 45","01S","-","-",39.66306,-75.74583,"-",29,4,30,"upland deciduous forest",,,,,,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94-99",6
"16643 - NEWA - UDWS - Delaware Woods South","NEWA",16643,"16642S","UDWS","Delaware Woods South","S","+","Newark","New Castle","DE","6","39 39 38","-075 44 46","01S","-","-",39.66056,-75.74611,"-",29,4,30,"upland deciduous forest",,,,,,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94-99",6
"16644 - BELV - BUPL - Belvoir Upland","BELV",16644,"16644U","BUPL","Belvoir Upland","DA","+","Lorton","Fairfax","VA","6","38 44 10","-077 09 00","10S","-","-",38.73611,-77.15,"-",38,4,30,"mixed upland forest",,,,,,,"X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95-02",8
"16645 - BELV - BLOW - Belvoir Lowland","BELV",16645,"16645U","BLOW","Belvoir Lowland","DA","+","Lorton","Fairfax","VA","6","38 44 20","-077 08 00","10S","-","-",38.73889,-77.13333,"-",9,4,30,"deciduous bottomland forest",,,,,,,"X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95-02",8
"16646 - BELV - MAS1 - Mason Neck 1","BELV",16646,"16646U","MAS1","Mason Neck 1","IW","+","Woodbridge","Fairfax","VA","6","38 37 34","-077 10 24","01S","GPS","NAD83",38.62611,-77.17333,"x",6,4,27,"mid-successional decid. forest",,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"95-11",17
"16647 - BELV - MAS2 - Mason Neck 2","BELV",16647,"16647U","MAS2","Mason Neck 2","IW","+","Woodbridge","Fairfax","VA","6","38 37 35","-077 12 03","01S","GPS","NAD83",38.62639,-77.20083,"x",6,4,30,"mountain-laurel thicket",,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"95-11",17
"16648 - APHI - APH1 - A.P. Hill 1","APHI",16648,"16648S","APH1","A.P. Hill 1","DA","+","Bowling Green","Caroline","VA","6","38 08 24","-077 20 20","01S","GPSMAP 64S","NAD83",38.14,-77.33889,"x",69,4,27,"Mixed deciduous and coniferous forest",,,,,,,"X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"95-03,19-",13
